company,cik,city,zip,entity_type,incorporated,young_company,industry,revenue_range,first_sale_date,filing_date,is_amendment,total_offering,amount_sold,num_investors,equity,debt,exemptions,related_people,file_num,accession,filing_url
BHAV Acquisition Corp,2097288,Piscataway,08854,Other,2025,True,Other,Decline to Disclose,2026-03-18,2026-03-31,False,2004225.0,2004225.0,13,True,False,06b,Balaji Swaminathan (Director); John O'Connell (Director); Piyush Sadana (Director); Giri Devanur (Executive Officer/Director); Chaitanya Setti (Executive Officer/Director),021-578612,0001213900-26-037584,https://www.sec.gov/Archives/edgar/data/2097288/000121390026037584/
BIO KEY INTERNATIONAL INC,1019034,Holmdel,07733,Corporation,overFiveYears,False,Other Technology,Decline to Disclose,2023-12-20,2024-01-04,False,547730.0,547730.0,1,True,False,06b,Mira LaCous (Executive Officer); Robert Michel (Director); Jim Sullivan (Executive Officer); Cecilia Welch (Executive Officer); Emmanuel Alia (Director); Michael DePasquale (Executive Officer/Director); Kwok Wong (Director); Cameron Williams (Director),021-501538,0001790300-24-000001,https://www.sec.gov/Archives/edgar/data/1019034/000179030024000001/
BLISS CO.,2045824,Mount Laurel,08054,Corporation,2022,True,Other,Decline to Disclose,2024-04-29,2024-11-22,False,3000000.0,2550000.0,16,True,False,06b,"Joseph Buonadonna, Sr. (Director); Matthew Stevens (Director); Joseph Buonadonna, Jr. (Executive Officer/Director)",021-530211,0002045824-24-000002,https://www.sec.gov/Archives/edgar/data/2045824/000204582424000002/
BLONDER TONGUE LABORATORIES INC,1000683,Old Bridge,08857,Corporation,overFiveYears,False,Manufacturing,Decline to Disclose,2021-03-04,2021-03-17,False,600000.0,600000.0,2,False,True,06b,Edward Grauch (Executive Officer); Rick Briggs (Director); Michael Hawkey (Director); John Burke (Director); Stephen Necessary (Director); James Williams (Director); Steven Shea (Director); Gary Scharmett (Director); Robert Palle (Director); Charles Dietz (Director); James Williams (Director); Anthony Bruno (Director); Eric Skolnik (Executive Officer),021-392616,0001567619-21-006500,https://www.sec.gov/Archives/edgar/data/1000683/000156761921006500/
BLUE OAK NJ 1 LLC,1971733,Bloomfield,07003,Limited Liability Company,2021,True,Other,No Revenues,2023-03-31,2023-04-10,False,1000000.0,282000.0,6,True,False,06b,Danielle Wildstein (Executive Officer),021-478317,0001971733-23-000001,https://www.sec.gov/Archives/edgar/data/1971733/000197173323000001/
BOKKSU INC.,1768977,Carlstadt,07072,Corporation,2018,True,Retailing,Decline to Disclose,2021-07-30,2022-01-25,False,22460495.0,22460469.0,40,True,False,06b,Danny Taing (Executive Officer/Director); Jonathan Shulkin (Director),021-430648,0001768977-22-000001,https://www.sec.gov/Archives/edgar/data/1768977/000176897722000001/
"Balcony Technology Group, Inc.",1996120,Hoboken,07030,Corporation,2021,True,Other,Decline to Disclose,2023-09-29,2026-01-30,True,,12032575.0,38,True,False,06b,Greggory Lester (Executive Officer/Director); Alexander McGee (Executive Officer/Director); Michael Reichel (Executive Officer/Director); Daniel Silverman (Executive Officer/Director),021-493878,0001996120-26-000001,https://www.sec.gov/Archives/edgar/data/1996120/000199612026000001/
Barcade Holdings LLC,2080156,Jersey City,07032,Limited Liability Company,overFiveYears,False,Restaurants,Decline to Disclose,2025-07-14,2025-10-29,False,1400000.0,1400000.0,3,True,False,06b,Scott Beard (Director); Paul Kermizian (Executive Officer/Director); Kevin Beard (Director); Peter Langway (Director),021-562353,0002080156-25-000015,https://www.sec.gov/Archives/edgar/data/2080156/000208015625000015/
BarnLight Studios,2114259,Wantage,07461,Limited Liability Company,2025,True,Other,No Revenues,2025-09-16,2026-03-09,False,,100000.0,2,True,False,06b,Nicole Vives (Executive Officer); Lauren Magura (Executive Officer),021-575817,0002114259-26-000001,https://www.sec.gov/Archives/edgar/data/2114259/000211425926000001/
BeYu Labs LLC,1925982,Jersey City,07304,Limited Liability Company,2022,True,Other Technology,Decline to Disclose,2022-04-22,2022-05-06,False,1000000.0,45000.0,2,False,True,06b,Benjamin Yurcisin (Executive Officer/Director),021-444877,0001925982-22-000002,https://www.sec.gov/Archives/edgar/data/1925982/000192598222000002/
"Beam Health, Inc.",1859546,Holmdel,07733,Corporation,2020,True,Other Technology,Decline to Disclose,2021-04-20,2021-05-05,False,2768013.0,2513011.0,31,True,False,06b,Sasikant Ponnapalli (Executive Officer/Director); Ranga Jayawardena (Executive Officer),021-398289,0001859546-21-000001,https://www.sec.gov/Archives/edgar/data/1859546/000185954621000001/
"Beam Health, Inc.",1859546,Red Bank,07701,Corporation,2020,True,Other Technology,Decline to Disclose,2025-07-11,2025-07-25,False,2249999.0,2049626.0,6,True,False,06b,Sasikant Ponnapalli (Executive Officer/Director); Shawn Merani (Director),021-552827,0001859546-25-000003,https://www.sec.gov/Archives/edgar/data/1859546/000185954625000003/
Beam Inc. /DE/,1897953,Sparta,07871,Corporation,2020,True,Other Technology,Decline to Disclose,2021-11-12,2021-12-10,False,18290000.0,14221464.0,56,True,False,06b,Etwaru Dharmendra (Director); Steven Oesterle (Director); Carla Pickens (Director); R Wang (Director); Michael Sutcliff (Executive Officer/Director),021-424577,0001897953-21-000001,https://www.sec.gov/Archives/edgar/data/1897953/000189795321000001/
Beaver Lake Cold Storage Development Co LLC,1860868,Cranford,07016,Limited Liability Company,2021,True,Construction,No Revenues,,2021-05-19,False,92000000.0,0.0,1,False,True,06b,THOMAS TUCKER (Executive Officer); FRED GIFFORD (Executive Officer),021-399853,0001861208-21-000003,https://www.sec.gov/Archives/edgar/data/1860868/000186120821000003/
"BehaviorFlow, Inc.",2075797,Bridgewater,08807,Corporation,2025,True,Other Technology,"$1 - $1,000,000",2025-06-17,2025-07-07,False,35000.0,35000.0,1,False,True,06b,Marguerite McFadden (Executive Officer),021-550879,0002075797-25-000001,https://www.sec.gov/Archives/edgar/data/2075797/000207579725000001/
Bella Ray Beverage LLC,2024038,Colts Neck,07722,Limited Liability Company,2023,True,Other,Decline to Disclose,2024-04-15,2024-06-27,False,600000.0,600000.0,5,True,False,06b,Philip Petracca (Executive Officer),021-517163,0002024038-24-000001,https://www.sec.gov/Archives/edgar/data/2024038/000202403824000001/
BetMGM Maryland Sports LLC,1947973,Jersey City,07311,Limited Liability Company,2022,True,Other,Decline to Disclose,2022-10-18,2022-10-28,False,25100.0,25100.0,2,True,False,06b,Adam Greenblatt (Executive Officer),021-463211,0001947973-22-000001,https://www.sec.gov/Archives/edgar/data/1947973/000194797322000001/
"BioAegis Therapeutics, Inc.",1546604,Morristown,07960,Corporation,overFiveYears,False,Biotechnology,Decline to Disclose,2021-12-23,2022-05-11,False,21770592.0,21770592.0,27,True,False,06b,Valerie Ceva (Executive Officer/Director); Mark DiNubile (Executive Officer/Director); Susan Levinson (Executive Officer/Director),021-445247,0001546604-22-000001,https://www.sec.gov/Archives/edgar/data/1546604/000154660422000001/
"BioStream Technologies, LLC",1716551,Moorestown,08057,Limited Liability Company,overFiveYears,False,Other Technology,Decline to Disclose,2018-12-14,2021-08-13,True,1000000.0,800000.0,4,True,False,06b,Harry Schiavi (Executive Officer/Director); Stephen Clark (Executive Officer/Director); Michael Farber (Executive Officer/Director),021-338112,0001192482-21-000664,https://www.sec.gov/Archives/edgar/data/1716551/000119248221000664/
Black Buffalo 3D Corp,1919806,Union,07083,Corporation,2020,True,Other,Decline to Disclose,2022-03-11,2024-01-30,True,3999992.0,3999992.0,8,True,False,06b,Heidi Cha (Executive Officer); Michael Miceli (Executive Officer/Director); Michael Galego (Director); Richard Kessler (Director); George Perry (Executive Officer); June Hee Han (Director),021-439005,0001062993-24-001560,https://www.sec.gov/Archives/edgar/data/1919806/000106299324001560/
Black Buffalo 3D Corp,1919806,Union,07083,Corporation,2020,True,Other,Decline to Disclose,2022-05-20,2024-01-30,False,24993.0,24993.0,1,True,False,06b,Michael Miceli (Executive Officer/Director); Michael Galego (Director); Richard Kessler (Director); June Hee Han (Director); Heidi Cha (Executive Officer); George Perry (Executive Officer),021-503871,0001062993-24-001559,https://www.sec.gov/Archives/edgar/data/1919806/000106299324001559/
Black Buffalo 3D Corp,1919806,Union,07083,Corporation,2020,True,Other,Decline to Disclose,2022-07-14,2024-01-30,False,250000.0,250000.0,1,True,False,06b,Michael Galego (Director); George Perry (Executive Officer); Richard Kessler (Director); June Hee Han (Director); Heidi Cha (Executive Officer); Michael Miceli (Executive Officer/Director),021-503869,0001062993-24-001558,https://www.sec.gov/Archives/edgar/data/1919806/000106299324001558/
